日付,属性2,属性3,1_v,1_r,2_v,3_v,4_v,3_r
2020-02-01,AA9FQ02,1_5_a,40000,400.1,4000,40.1,400000,4.01
2020-02-01,AA9FQ01,1_5_b,40001,400.2,4001,40.2,400001,4.02
2020-02-01,AA9FQ03,1_6_a,40002,400.3,4002,40.3,400002,4.03
2020-02-01,AA9FQ04,1_6_b,40003,400.4,4003,40.4,400003,4.04
2020-02-01,AA9FQ05,1_7_a,40004,400.5,4004,40.5,400004,4.05
2020-02-01,AA9FQ06,1_7_b,40005,400.6,4005,40.6,400005,4.06
2020-02-01,AA9FQ07,2_8_a,40006,400.7,4006,40.7,400006,4.07
2020-02-01,AA9FQ08,2_8_b,40007,400.8,4007,40.8,400007,4.08
2020-02-01,AA9FQ09,2_9_a,40008,400.9,4008,40.9,400008,4.09
2020-02-01,BK3ZP10,2_9_b,40009,401,4009,41,400009,4.1
2020-02-01,BK3ZP11,2_10_a,40010,401.1,4010,41.1,400010,4.11
2020-02-01,BK3ZP12,2_10_b,40011,401.2,4011,41.2,400011,4.12
2020-02-01,BK3ZP13,2_11_b,40012,401.3,4012,41.3,400012,4.13
2020-02-01,BK3ZP14,2_1_b,40013,401.4,4013,41.4,400013,4.14
2020-02-02,AA9FQ02,1_5_a,50000,500.1,5000,50.1,500000,5.01
2020-02-02,AA9FQ01,1_5_b,50001,500.2,5001,50.2,500001,5.02
2020-02-02,AA9FQ03,1_6_a,50002,500.3,5002,50.3,500002,5.03
2020-02-02,AA9FQ04,1_6_b,50003,500.4,5003,50.4,500003,5.04
2020-02-02,AA9FQ05,1_7_a,50004,500.5,5004,50.5,500004,5.05
2020-02-02,AA9FQ06,1_7_b,50005,500.6,5005,50.6,500005,5.06
2020-02-02,AA9FQ07,2_8_a,50006,500.7,5006,50.7,500006,5.07
2020-02-02,AA9FQ08,2_8_b,50007,500.8,5007,50.8,500007,5.08
2020-02-02,AA9FQ09,2_9_a,50008,500.9,5008,50.9,500008,5.09
2020-02-02,BK3ZP10,2_9_b,50009,501,5009,51,500009,5.1
2020-02-02,BK3ZP11,2_10_a,50010,501.1,5010,51.1,500010,5.11
2020-02-02,BK3ZP12,2_10_b,50011,501.2,5011,51.2,500011,5.12
2020-02-02,BK3ZP13,2_11_b,50012,501.3,5012,51.3,500012,5.13
2020-02-02,BK3ZP14,2_1_b,50013,501.4,5013,51.4,500013,5.14
2020-02-03,AA9FQ02,1_5_a,60000,600.1,6000,60.1,600000,6.01
2020-02-03,AA9FQ01,1_5_b,60001,600.2,6001,60.2,600001,6.02
2020-02-03,AA9FQ03,1_6_a,60002,600.3,6002,60.3,600002,6.03
2020-02-03,AA9FQ04,1_6_b,60003,600.4,6003,60.4,600003,6.04
2020-02-03,AA9FQ05,1_7_a,60004,600.5,6004,60.5,600004,6.05
2020-02-03,AA9FQ06,1_7_b,60005,600.6,6005,60.6,600005,6.06
2020-02-03,AA9FQ07,2_8_a,60006,600.7,6006,60.7,600006,6.07
2020-02-03,AA9FQ08,2_8_b,60007,600.8,6007,60.8,600007,6.08
2020-02-03,AA9FQ09,2_9_a,60008,600.9,6008,60.9,600008,6.09
2020-02-03,BK3ZP10,2_9_b,60009,601,6009,61,600009,6.1
2020-02-03,BK3ZP11,2_10_a,60010,601.1,6010,61.1,600010,6.11
2020-02-03,BK3ZP12,2_10_b,60011,601.2,6011,61.2,600011,6.12
2020-02-03,BK3ZP13,2_11_b,60012,601.3,6012,61.3,600012,6.13
2020-02-03,BK3ZP14,2_1_b,60013,601.4,6013,61.4,600013,6.14
