日付,属性2,属性3,1_v,1_r,2_v,3_v,4_v,3_r
2026-02-01,AA9FQ02,1_5_a,216354,75.138,162564,31,37741,0.019
2026-02-01,AA9FQ01,1_5_b,1841063,18.679,343890,236,37276,0.069
2026-02-01,AA9FQ03,1_6_a,462514,49.308,228056,80,37618,0.035
2026-02-01,AA9FQ04,1_6_b,2105081,15.812,332846,245,37286,0.074
2026-02-01,AA9FQ05,1_7_a,313956,68.662,215568,65,37701,0.03
2026-02-01,AA9FQ06,1_7_b,1388830,34.605,480605,200,37257,0.042
2026-02-01,AA9FQ07,2_8_a,360175,56.167,202298,75,37704,0.037
2026-02-01,AA9FQ08,2_8_b,1337138,35.157,470093,182,37282,0.039
2026-02-01,AA9FQ09,2_9_a,520203,49.515,257576,96,37607,0.037
2026-02-01,BK3ZP10,2_9_b,1488159,28.26,420548,170,37311,0.04
2026-02-01,BK3ZP11,2_10_a,338963,46.117,156319,36,37714,0.023
2026-02-01,BK3ZP12,2_10_b,1992401,19.597,390448,254,37356,0.065
2026-02-01,BK3ZP13,2_11_b,373758,51.784,193548,62,37636,0.032
2026-02-01,BK3ZP14,2_1_b,2078000,18.43,382977,258,37382,0.067
2026-02-02,AA9FQ02,1_5_a,377211,58.562,220901,49,37783,0.022
2026-02-02,AA9FQ01,1_5_b,2363593,13.958,329912,325,37691,0.099
2026-02-02,AA9FQ03,1_6_a,635450,44.235,281089,55,37757,0.02
2026-02-02,AA9FQ04,1_6_b,2706090,11.87,321217,367,37688,0.114
2026-02-02,AA9FQ05,1_7_a,390443,61.542,240285,59,37793,0.025
2026-02-02,AA9FQ06,1_7_b,1872442,23.926,448007,243,37664,0.054
2026-02-02,AA9FQ07,2_8_a,434027,55.113,239205,58,37796,0.024
2026-02-02,AA9FQ08,2_8_b,1238125,33.245,411615,215,37676,0.052
2026-02-02,AA9FQ09,2_9_a,407138,58.245,237138,49,37802,0.021
2026-02-02,BK3ZP10,2_9_b,1865858,25.615,477948,246,37693,0.051
2026-02-02,BK3ZP11,2_10_a,622469,36.195,225302,58,37797,0.026
2026-02-02,BK3ZP12,2_10_b,2156322,20.87,450032,289,37677,0.064
2026-02-02,BK3ZP13,2_11_b,607718,45.545,276786,66,37753,0.024
2026-02-02,BK3ZP14,2_1_b,2169632,20.113,436378,234,37682,0.054
2026-02-03,AA9FQ02,1_5_a,240409,47.549,114311,23,15523,0.02
2026-02-03,AA9FQ01,1_5_b,790496,20.325,160670,97,15402,0.06
2026-02-03,AA9FQ03,1_6_a,251561,44.505,111957,20,15563,0.018
2026-02-03,AA9FQ04,1_6_b,778348,19.142,148992,100,15455,0.067
2026-02-03,AA9FQ05,1_7_a,186539,57.133,106575,10,15576,0.009
2026-02-03,AA9FQ06,1_7_b,665855,27.891,185715,89,15491,0.048
2026-02-03,AA9FQ07,2_8_a,253028,46.034,116478,25,15524,0.021
2026-02-03,AA9FQ08,2_8_b,587646,28.888,169757,92,15472,0.054
2026-02-03,AA9FQ09,2_9_a,288047,42.158,121435,25,15574,0.021
2026-02-03,BK3ZP10,2_9_b,781696,23.463,183413,112,15484,0.061
2026-02-03,BK3ZP11,2_10_a,229124,47.511,108858,25,15506,0.023
2026-02-03,BK3ZP12,2_10_b,820998,21.301,174877,80,15443,0.046
2026-02-03,BK3ZP13,2_11_b,283353,38.729,109739,26,15523,0.024
2026-02-03,BK3ZP14,2_1_b,1041748,18.518,192915,102,15413,0.053
